Name,County,Facility URL,ZipCode,Latitude,Longitude,Location
Alger Island Campground,HERKIMER,http://www.dec.ny.gov/outdoor/24451.html,13420,43.745784,-74.874585,"(43.745784, -74.874585)"
Allegany,Cattaraugus,https://parks.ny.gov/parks/136/details.aspx,14779,42.05475752,-78.76855865,"(42.05475752, -78.76855865)"
Ausable Point Campground,CLINTON,http://www.dec.ny.gov/outdoor/24452.html,12972,44.570662,-73.430416,"(44.570662, -73.430416)"
Bear Spring Mountain Campground,DELAWARE,http://www.dec.ny.gov/outdoor/24454.html,13856,42.119063,-75.068586,"(42.119063, -75.068586)"
Beaverkill Campground,SULLIVAN,http://www.dec.ny.gov/outdoor/24455.html,12776,41.977219,-74.839592,"(41.977219, -74.839592)"
Betty & Wilbur Davis,Otsego,https://parks.ny.gov/parks/85/details.aspx,12155,42.66363969,-74.83290982,"(42.66363969, -74.83290982)"
Bowman Lake,Chenango,https://parks.ny.gov/parks/76/details.aspx,13830,42.51998474,-75.6806338,"(42.51998474, -75.6806338)"
Brown Tract Pond Campground,HAMILTON,http://www.dec.ny.gov/outdoor/24456.html,13360,43.809152,-74.701188,"(43.809152, -74.701188)"
Buck Pond Campground,FRANKLIN,http://www.dec.ny.gov/outdoor/24457.html,12989,44.501034,-74.112157,"(44.501034, -74.112157)"
Burnham Point,Jefferson,https://parks.ny.gov/parks/57/details.aspx,13618,44.16250249,-76.26444427,"(44.16250249, -76.26444427)"
Buttermilk Falls,Tompkins,https://parks.ny.gov/parks/151/details.aspx,14850,42.40402596,-76.51225664,"(42.40402596, -76.51225664)"
Canoe Picnic Point,Jefferson,https://parks.ny.gov/parks/64/details.aspx,13692,44.30417139,-76.07471216,"(44.30417139, -76.07471216)"
Caroga Lake Campground,FULTON,http://www.dec.ny.gov/outdoor/24458.html,12095,43.124012,-74.471252,"(43.124012, -74.471252)"
Cayuga Lake,Seneca,https://parks.ny.gov/parks/123/details.aspx,13148,42.89795191,-76.75531185,"(42.89795191, -76.75531185)"
Cedar Island,St. Lawrence,https://parks.ny.gov/parks/25/details.aspx,13646,44.44967933,-75.79052886,"(44.44967933, -75.79052886)"
Cedar Point,Jefferson,https://parks.ny.gov/parks/21/details.aspx,13624,44.2034892,-76.19613394,"(44.2034892, -76.19613394)"
Chenango Valley,Broome,https://parks.ny.gov/parks/41/details.aspx,13746,42.21554025,-75.83623684,"(42.21554025, -75.83623684)"
Cherry Plain,Rensselaer,https://parks.ny.gov/parks/173/details.aspx,12138,42.61786779,-73.41221527,"(42.61786779, -73.41221527)"
Clarence Fahnestock,Putnam,https://parks.ny.gov/parks/133/details.aspx,10512,41.45275633,-73.84764739,"(41.45275633, -73.84764739)"
Coles Creek,St. Lawrence,https://parks.ny.gov/parks/72/details.aspx,13669,44.88473357,-75.12323609,"(44.88473357, -75.12323609)"
Cranberry Lake Campground,ST LAWRENCE,http://www.dec.ny.gov/outdoor/24460.html,12927,44.195805,-74.82649,"(44.195805, -74.82649)"
Crown Point Campground,ESSEX,http://www.dec.ny.gov/outdoor/24461.html,12928,44.02605,-73.421172,"(44.02605, -73.421172)"
Cumberland Bay,Clinton,https://parks.ny.gov/parks/34/details.aspx,12901,44.73334654,-73.42117996,"(44.73334654, -73.42117996)"
Darien Lakes,Genesee,https://parks.ny.gov/parks/144/details.aspx,14040,42.91181416,-78.4114923,"(42.91181416, -78.4114923)"
Delta Lake,Oneida,https://parks.ny.gov/parks/66/details.aspx,13486,43.29096558,-75.42187224,"(43.29096558, -75.42187224)"
Devil'S Tombstone Campground,GREENE,http://www.dec.ny.gov/outdoor/24462.html,12424,42.152974,-74.206624,"(42.152974, -74.206624)"
DeWolf Point,Jefferson,https://parks.ny.gov/parks/22/details.aspx,13640,44.33274077,-75.9901418,"(44.33274077, -75.9901418)"
Eagle Point Campground,WARREN,http://www.dec.ny.gov/outdoor/24463.html,12860,43.747823,-73.795196,"(43.747823, -73.795196)"
Eel Weir,St. Lawrence,https://parks.ny.gov/parks/121/details.aspx,13669,44.62999004,-75.47592958,"(44.62999004, -75.47592958)"
Eighth Lake Campground,HAMILTON,http://www.dec.ny.gov/outdoor/24465.html,13360,43.764273,-74.709992,"(43.764273, -74.709992)"
Evangola,Erie,https://parks.ny.gov/parks/91/details.aspx,14081,42.60579936,-79.10185926,"(42.60579936, -79.10185926)"
Fair Haven Beach,Cayuga,https://parks.ny.gov/parks/12/details.aspx,13064,43.34170812,-76.69131068,"(43.34170812, -76.69131068)"
Fillmore Glen,Cayuga,https://parks.ny.gov/parks/157/details.aspx,13118,42.69096898,-76.38800625,"(42.69096898, -76.38800625)"
Fish Creek Pond Campground,FRANKLIN,http://www.dec.ny.gov/outdoor/24466.html,12986,44.299762,-74.369329,"(44.299762, -74.369329)"
Forked Lake Campground,HAMILTON,http://www.dec.ny.gov/outdoor/24467.html,12847,43.908561,-74.53502,"(43.908561, -74.53502)"
Four Mile Creek,Niagara,https://parks.ny.gov/parks/6/details.aspx,14174,43.27437645,-78.99746851,"(43.27437645, -78.99746851)"
Gilbert Lake,Otsego,https://parks.ny.gov/parks/19/details.aspx,13796,42.586584,-75.13246312,"(42.586584, -75.13246312)"
Glimmerglass,Otsego,https://parks.ny.gov/parks/28/details.aspx,13326,42.79362617,-74.86868392,"(42.79362617, -74.86868392)"
Golden Beach Campground,HAMILTON,http://www.dec.ny.gov/outdoor/24468.html,13436,43.808106,-74.601659,"(43.808106, -74.601659)"
Golden Hill,Niagara,https://parks.ny.gov/parks/143/details.aspx,14012,43.36946168,-78.48015886,"(43.36946168, -78.48015886)"
Grass Point,Jefferson,https://parks.ny.gov/parks/139/details.aspx,13607,44.28176681,-75.99593007,"(44.28176681, -75.99593007)"
Green Lakes,Onondaga,https://parks.ny.gov/parks/172/details.aspx,13066,43.04697832,-75.9818848,"(43.04697832, -75.9818848)"
Hamlin Beach,Monroe,https://parks.ny.gov/parks/20/details.aspx,14464,43.3600913,-77.95509767,"(43.3600913, -77.95509767)"
Harriman,Rock/Orange,https://parks.ny.gov/parks/145/details.aspx,10910,41.23733048,-74.10169996,"(41.23733048, -74.10169996)"
Hearthstone Point Campground,WARREN,http://www.dec.ny.gov/outdoor/24470.html,12845,43.455204,-73.697195,"(43.455204, -73.697195)"
Heckscher,Suffolk,https://parks.ny.gov/parks/136/details.aspx,11730,40.70866151,-73.16492238,"(40.70866151, -73.16492238)"
Higley Flow,St. Lawrence,https://parks.ny.gov/parks/58/details.aspx,13687,44.49829863,-74.91464273,"(44.49829863, -74.91464273)"
Hither Hills,Suffolk,https://parks.ny.gov/parks/122/details.aspx,11954,41.01605601,-72.02131304,"(41.01605601, -72.02131304)"
Hudson River Islands,Columbia/Greene,https://parks.ny.gov/parks/98/details.aspx,12534,42.32888525,-73.7783764,"(42.32888525, -73.7783764)"
Indian Lake Islands Campground,HAMILTON,http://www.dec.ny.gov/outdoor/24471.html,12842,43.64828,-74.388577,"(43.64828, -74.388577)"
Jacques Cartier,St. Lawrence,https://parks.ny.gov/parks/114/details.aspx,13664,44.55484146,-75.6805192,"(44.55484146, -75.6805192)"
John Boyd Thacher,Albany,https://parks.ny.gov/parks/128/details.aspx,12186,42.65546552,-74.01470616,"(42.65546552, -74.01470616)"
Keewaydin,Jefferson,https://parks.ny.gov/parks/24/details.aspx,13607,44.32343021,-75.92971103,"(44.32343021, -75.92971103)"
Kenneth L. Wilson Campground,ULSTER,http://www.dec.ny.gov/outdoor/24472.html,12409,42.025082,-74.217026,"(42.025082, -74.217026)"
Keuka Lake,Yates,https://parks.ny.gov/parks/67/details.aspx,14478,42.58218255,-77.12858336,"(42.58218255, -77.12858336)"
Kring Point,Jefferson,https://parks.ny.gov/parks/14/details.aspx,13679,44.37718875,-75.85615854,"(44.37718875, -75.85615854)"
Lake Durant Campground,HAMILTON,http://www.dec.ny.gov/outdoor/24473.html,12812,43.836349,-74.395049,"(43.836349, -74.395049)"
Lake Eaton Campground,HAMILTON,http://www.dec.ny.gov/outdoor/24464.html,12847,43.98883,-74.461964,"(43.98883, -74.461964)"
Lake Erie,Chautauqua,https://parks.ny.gov/parks/129/details.aspx,14716,42.42289079,-79.43141787,"(42.42289079, -79.43141787)"
Lake George Battleground Campground,WARREN,http://www.dec.ny.gov/outdoor/24453.html,12845,43.416346,-73.70927,"(43.416346, -73.70927)"
