STATION,NAME,LATITUDE,LONGITUDE,ZIPCODE,ELEVATION,DATE,PRCP,TAVG,TMAX,TMIN,TSUN,WT01,WT02,WT03,WT04,WT05,WT06,WT07,WT08,WT09,WT11
USW00014750,"GLENS FALLS AIRPORT, NY US",43.33845,-73.61028,12804,97.8,6/1/2020,0,49,61,33,,,,,,,,,,,
USR0000NSCH,"SCHROON LAKE NEW YORK, NY US",43.8,-73.7,12870,249.9,6/1/2020,0,49,61,36,,,,,,,,,,,
USW00004725,"BINGHAMTON GREATER AP, NY US",42.2068,-75.98,13790,486.2,6/1/2020,0,51,65,39,,,,,,,,,,,
USR0000NSAR,"SARA NEW YORK, NY US",43.0078,-73.6511,12170,114.3,6/1/2020,0,51,66,38,,,,,,,,,,,
USR0000NSHR,"SHERBURNE NEW YORK, NY US",42.7,-75.5,13460,335.3,6/1/2020,0,52,66,35,,,,,,,,,,,
USW00014733,"BUFFALO NIAGARA INTERNATIONAL, NY US",42.93997,-78.73615,14225,218.2,6/1/2020,0,53,61,48,,,,,,,,,,,
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",42.74722,-73.79912,12110,85.3,6/1/2020,0,54,68,41,,,,,,,,,,,
USR0000NSTO,"STONYKILL NEW YORK, NY US",41.5,-73.9,12524,61,6/1/2020,0,55,70,41,,,,,,,,,,,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",43.11722,-77.67541,14624,164.3,6/1/2020,0,56,69,46,,,,,,,,,,,
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",43.1111,-76.1038,13211,125.9,6/1/2020,0,56,67,46,,,,,,,,,,,
USR0000NGAN,"GANG MILLS NEW YORK, NY US",42.1,-77.1,14830,335.3,6/1/2020,0,56,73,38,,,,,,,,,,,
USW00004781,"ISLIP LI MACARTHUR AIRPORT, NY US",40.79388,-73.10189,11779,25.6,6/1/2020,0,57,69,44,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,11096,3.4,6/1/2020,0,60,72,51,,,,,,,,,,,
USW00014732,"LAGUARDIA AIRPORT, NY US",40.77944,-73.88035,11371,3.4,6/1/2020,0,62,72,54,,,,,,,,,,,
USW00054787,"FARMINGDALE REPUBLIC AIRPORT, NY US",40.73417,-73.41694,11735,24.7,6/1/2020,0,60,71,49,,,,,,,,,,,
